[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round 131/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3551 | eps=91.536 | duree=0.052s
[server] round 132/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3546 | eps=91.885 | duree=0.038s
[server] round 133/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3543 | eps=92.232 | duree=0.065s
[server] round 134/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3543 | eps=92.578 | duree=0.047s
[server] round 135/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3536 | eps=92.923 | duree=0.068s
[server] round 136/230 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3535 | eps=93.267 | duree=0.067s
[server] round 137/230 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3532 | eps=93.609 | duree=0.037s
[server] round 138/230 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3537 | eps=93.950 | duree=0.065s
[server] round 139/230 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3535 | eps=94.290 | duree=0.062s
[server] round 140/230 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3531 | eps=94.628 | duree=0.043s
[server] round 141/230 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3531 | eps=94.966 | duree=0.064s
[server] round 142/230 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3537 | eps=95.302 | duree=0.039s
[server] round 143/230 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3528 | eps=95.637 | duree=0.066s
[server] round 144/230 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3526 | eps=95.971 | duree=0.036s
[server] round 145/230 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3530 | eps=96.303 | duree=0.061s
[server] round 146/230 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3524 | eps=96.635 | duree=0.063s
[server] round 147/230 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3525 | eps=96.965 | duree=0.054s
[server] round 148/230 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3527 | eps=97.294 | duree=0.049s
[server] round 149/230 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3535 | eps=97.622 | duree=0.06s
[server] round 150/230 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3529 | eps=97.950 | duree=0.039s
[server] round 151/230 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3526 | eps=98.275 | duree=0.057s
