[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round 121/230 | actifs= 4 | acc=0.891 prec=0.643 recall=0.350 F1=0.453 loss=0.3312 | eps=52.784 | duree=0.099s
[server] round 122/230 | actifs= 4 | acc=0.892 prec=0.649 recall=0.359 F1=0.463 loss=0.3315 | eps=53.001 | duree=0.094s
[server] round 123/230 | actifs= 4 | acc=0.892 prec=0.649 recall=0.359 F1=0.463 loss=0.3312 | eps=53.218 | duree=0.099s
[server] round 124/230 | actifs= 4 | acc=0.895 prec=0.667 recall=0.369 F1=0.475 loss=0.3319 | eps=53.434 | duree=0.101s
[server] round 125/230 | actifs= 4 | acc=0.895 prec=0.667 recall=0.369 F1=0.475 loss=0.3324 | eps=53.649 | duree=0.103s
[server] round 126/230 | actifs= 4 | acc=0.896 prec=0.672 recall=0.379 F1=0.484 loss=0.3324 | eps=53.863 | duree=0.195s
[server] round 127/230 | actifs= 4 | acc=0.895 prec=0.667 recall=0.369 F1=0.475 loss=0.3325 | eps=54.077 | duree=0.187s
[server] round 128/230 | actifs= 4 | acc=0.895 prec=0.667 recall=0.369 F1=0.475 loss=0.3338 | eps=54.289 | duree=0.097s
[server] round 129/230 | actifs= 4 | acc=0.894 prec=0.655 recall=0.369 F1=0.472 loss=0.3341 | eps=54.501 | duree=0.096s
[server] round 130/230 | actifs= 4 | acc=0.894 prec=0.655 recall=0.369 F1=0.472 loss=0.3346 | eps=54.712 | duree=0.091s
[server] round 131/230 | actifs= 4 | acc=0.894 prec=0.655 recall=0.369 F1=0.472 loss=0.3337 | eps=54.922 | duree=0.1s
[server] round 132/230 | actifs= 4 | acc=0.894 prec=0.655 recall=0.369 F1=0.472 loss=0.3341 | eps=55.131 | duree=0.102s
[server] round 133/230 | actifs= 4 | acc=0.892 prec=0.649 recall=0.359 F1=0.463 loss=0.3349 | eps=55.339 | duree=0.2s
[server] round 134/230 | actifs= 4 | acc=0.894 prec=0.655 recall=0.369 F1=0.472 loss=0.3353 | eps=55.547 | duree=0.132s
[server] round 135/230 | actifs= 4 | acc=0.894 prec=0.655 recall=0.369 F1=0.472 loss=0.3364 | eps=55.754 | duree=0.099s
[server] round 136/230 | actifs= 4 | acc=0.894 prec=0.655 recall=0.369 F1=0.472 loss=0.3368 | eps=55.960 | duree=0.093s
[server] round 137/230 | actifs= 4 | acc=0.894 prec=0.655 recall=0.369 F1=0.472 loss=0.3369 | eps=56.165 | duree=0.105s
[server] round 138/230 | actifs= 4 | acc=0.894 prec=0.655 recall=0.369 F1=0.472 loss=0.3373 | eps=56.370 | duree=0.091s
[server] round 139/230 | actifs= 4 | acc=0.894 prec=0.655 recall=0.369 F1=0.472 loss=0.3377 | eps=56.574 | duree=0.098s
[server] round 140/230 | actifs= 4 | acc=0.894 prec=0.655 recall=0.369 F1=0.472 loss=0.3374 | eps=56.777 | duree=0.094s
