[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round 104/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3271 | eps=81.559 | duree=0.038s
[server] round 105/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3271 | eps=81.950 | duree=0.066s
[server] round 106/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3276 | eps=82.340 | duree=0.074s
[server] round 107/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3288 | eps=82.727 | duree=0.065s
[server] round 108/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3294 | eps=83.113 | duree=0.068s
[server] round 109/230 | actifs= 4 | acc=0.879 prec=0.714 recall=0.097 F1=0.171 loss=0.3316 | eps=83.497 | duree=0.071s
[server] round 110/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3308 | eps=83.879 | duree=0.048s
[server] round 111/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3300 | eps=84.259 | duree=0.065s
[server] round 112/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3300 | eps=84.638 | duree=0.073s
[server] round 113/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3290 | eps=85.015 | duree=0.084s
[server] round 114/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3289 | eps=85.390 | duree=0.074s
[server] round 115/230 | actifs= 4 | acc=0.879 prec=0.688 recall=0.107 F1=0.185 loss=0.3279 | eps=85.764 | duree=0.106s
[server] round 116/230 | actifs= 4 | acc=0.880 prec=0.706 recall=0.117 F1=0.200 loss=0.3291 | eps=86.136 | duree=0.084s
[server] round 117/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3311 | eps=86.507 | duree=0.076s
[server] round 118/230 | actifs= 4 | acc=0.879 prec=0.688 recall=0.107 F1=0.185 loss=0.3301 | eps=86.876 | duree=0.065s
[server] round 119/230 | actifs= 4 | acc=0.881 prec=0.722 recall=0.126 F1=0.215 loss=0.3288 | eps=87.243 | duree=0.049s
[server] round 120/230 | actifs= 4 | acc=0.884 prec=0.778 recall=0.136 F1=0.231 loss=0.3286 | eps=87.609 | duree=0.071s
[server] round 121/230 | actifs= 4 | acc=0.881 prec=0.750 recall=0.117 F1=0.202 loss=0.3302 | eps=87.973 | duree=0.079s
